question,answer,category
What should I do if my order is approved but hasn't been shipped yet?,Sellers usually ship orders 1-2 business days before the delivery date so that they reach you on time. In case your order hasn't been shipped within this time please contact our Customer Support so that we can look into it.,Delivery
Can I take the shipment after opening and checking the contents inside?,"As per company policy, a shipment can't be opened before delivery, but you can accept the shipment and get in touch with us later in case you have any concerns.",Delivery
How quickly can I get my order delivered?,Orders will be delivered by the date you see on the product page for your location.,Delivery
What are the standard shipping speeds and delivery charges?,"Standard Delivery charges and shipping timelines vary based on several factors like the seller, type of the product, price of the product, order value and delivery pin code. Delivery timeline is displayed on the product page. You can choose a delivery pin code on the product page and it will display the list of sellers who cater to that location and the applicable shipping charges.",Delivery
What are the standard shipping speeds and delivery charges?,"Standard Delivery charges and shipping timelines vary based on several factors like the seller, type of the product, price of the product, order value and delivery pin code. Delivery timeline is displayed on the product page. You can choose a delivery pin code on the product page and it will display the list of sellers who cater to that location and the applicable shipping charges.",Delivery
When will I get my order once its status changes to 'Out for Delivery'?,"Once an order is out for delivery, please wait till 11 PM for the delivery executive to deliver your order. For products that have a faster delivery option to your location, the time by which it can be delivered will be mentioned on the product page.",Delivery
"Why am I unable to order products like television, air-conditioner, refrigerator, washing machine, furniture, microwave, treadmill, etc. at my location?","The delivery of large products to a specific location depends on several factors, including the item’s dimensions and weight, the seller’s location, and whether the seller’s delivery partner can service your area. Make sure to update your delivery address or preferred location to check if the product or offer is available for delivery at your address.",Delivery
Are faster delivery options like Same Day & In-a-Day available on return requests?,"No, however, we try our best to have your item(s) picked up by our courier service providers & get you the replacement as soon as possible.",Delivery
What should I do if I find the package open or tampered on delivery?,"You can reject the delivery at the doorstep. However, if the product is already delivered, you can create a return request for the item as per the returns policy from the 'Orders' section of your app.",Delivery
Why did the delivery executive refuse to pickup my product?,"When returning a product, it is important to select the correct reason for the return and ensure that the item being returned meets the criteria for the selected reason code. This is because delivery executives are responsible for performing checks on the returned product and will refuse to pick up the item if it does not meet the specified criteria. If this happens, it is advisable to ask the delivery executive for the reason for the pickup denial to avoid similar incidents in the future. By following these guidelines, you can help ensure a smoother return process and minimise the chances of your return being rejected.",Delivery
Can my order be prioritised or delivered faster?,"Order delivery dates can't be changed, since they're determined by sellers based on the timeline they need for processing. These are based on factors like your address, the seller's address and the type of product. That said, orders usually arrive on or before the scheduled delivery date, and you can track them easily via our app or website.",Delivery
The delivery of my order is delayed. What should I do?,"In the event that the delivery of your order is delayed, a new delivery date will be communicated to you via SMS/email. Additionally, you can access your Flipkart app's 'Orders' section to view the new delivery date and order status.",Delivery
"My order status is delivered but I have not got the package, what do I do?","First, check with your neighbours, friends, relatives, house owner, or security personnel to see if they collected the product on your behalf. You can also wait until the end of the day, as packages may sometimes show as delivered while still in transit. If you still cannot locate your item, please contact us and we will be happy to help.",Delivery
How do I track my order details?,You can view your order details on the 'Orders' page under the 'Account' section of your app by selecting the product.,Delivery
Can I collect the product from warehouse/hub?,"As a security measure, orders cannot be picked up from a warehouse, hub, or delivery center. Instead, orders will be delivered to the address provided by the customer.As soon as your order is out for delivery, you can view the details of your delivery executive by visiting the 'Orders' section of your Flipkart account. You can contact the delivery executive to understand the delivery timelines.Don't worry if you miss a delivery attempt as there will be three attempts in total.",Delivery
How can I modify/add an alternate number for the order delivery?,"You can update your delivery contact number or add an alternate one by going to Orders under your Account, selecting the specific order, and opening the shipping details section. Tap Edit Order, choose I want to change my phone number, enter or select the new number, and then tap Save to confirm the update.",Delivery
"How can I check which address I provided, and confirm if the billing address is the same as the shipping address?","You can check your address details on the Order Summary page. By default, the billing address is the same as the shipping address unless you’ve updated it. The billing address will also be visible on the invoice once your order is delivered.",Delivery
Why is my order status not updated to delivered ?,"It may take up to 24 hours for the order status to be updated. If it still doesn't update, feel free to reach out for assistance.",Delivery
Why did I receive a message about delivery failure when I already received my order?,"This can happen due to an unexpected issue. If you have already received your order, please ignore any such message.",Delivery
When will I get my order once it is Out for Delivery?,"Orders out for delivery will reach you by 11 PM, while large items like furniture, electronics, or groceries will be delivered in your chosen time slot. For Ekart deliveries, you can find the delivery executive’s contact details in the Orders section of the app, and for other delivery partners, the details will be sent to you via SMS. Keep your phone handy as the delivery executive may call you.",Delivery
When will I get my order if I miss a delivery attempt?,"If you miss a delivery, another attempt is made on the next business day, and an SMS is sent with details about the revised delivery date. An order is usually cancelled after three unsuccessful delivery attempts have been made.",Delivery
"My order has reached the nearest delivery hub, but why isn't it out for delivery yet?","The delivery partner delivering your order is responsible for making sure that your order reaches you within the delivery date. Rest assured, you'll get an SMS once your shipment is out for delivery. You can also contact the delivery executive using the contact details available on the 'Orders' page.",Delivery
Why does the estimated delivery time vary for each seller?,"Delivery timelines are determined by various factors, including the type of product, the seller's city, your delivery location, and the time needed by the delivery partner to deliver the order. You can view the estimated delivery time by entering your pincode on the product page.",Delivery
I have a complaint about the delivery executive who came to deliver my order.,You can contact our Customer Support team with the details and we will get in touch with the delivery partner to resolve your complaint.,Delivery
Why can't I track my order even though it has been shipped?,Courier services usually take upto 24 hours to activate tracking for an order once it's shipped. Please check again after the mentioned time frame.,Delivery
